Fecha,Reserva (hm3)
23/12/2016,60.63
24/12/2016,60.66
25/12/2016,60.72
26/12/2016,60.75
27/12/2016,60.79
28/12/2016,60.81
29/12/2016,60.84
30/12/2016,60.85
01/01/2017,60.88
02/01/2017,60.91
03/01/2017,60.94
04/01/2017,60.91
05/01/2017,60.91
06/01/2017,60.91
07/01/2017,60.91
08/01/2017,60.91
09/01/2017,60.88
10/01/2017,60.88
11/01/2017,60.86
12/01/2017,60.83
13/01/2017,60.81
14/01/2017,60.79
15/01/2017,60.72
16/01/2017,60.7
17/01/2017,60.65
18/01/2017,60.58
19/01/2017,60.53
20/01/2017,60.51
21/01/2017,60.48
22/01/2017,60.43
23/01/2017,60.39
24/01/2017,60.33
25/01/2017,60.29
26/01/2017,60.23
27/01/2017,60.23
28/01/2017,60.27
29/01/2017,60.23
30/01/2017,60.23
31/01/2017,60.21
01/02/2017,60.21
02/02/2017,60.18
03/02/2017,60.18
04/02/2017,60.15
05/02/2017,60.15
06/02/2017,60.12
07/02/2017,60.06
08/02/2017,59.99
09/02/2017,59.94
10/02/2017,59.91
11/02/2017,60.12
12/02/2017,60.37
13/02/2017,61.01
14/02/2017,61.67
15/02/2017,61.93
16/02/2017,62.1
17/02/2017,62.22
18/02/2017,62.33
19/02/2017,62.48
20/02/2017,63.78
21/02/2017,64.06
22/02/2017,64.24
23/02/2017,64.37
24/02/2017,64.52
25/02/2017,64.62
26/02/2017,64.68
27/02/2017,64.78
28/02/2017,64.84
01/03/2017,64.87
02/03/2017,64.91
03/03/2017,64.91
04/03/2017,64.96
05/03/2017,65.26
06/03/2017,65.46
07/03/2017,65.57
08/03/2017,65.64
08/03/2017,65.64
09/03/2017,65.74
10/03/2017,65.8
11/03/2017,65.86
12/03/2017,65.89
13/03/2017,65.89
14/03/2017,65.92
15/03/2017,66.11
16/03/2017,66.21
17/03/2017,66.3
18/03/2017,66.37
19/03/2017,66.41
20/03/2017,66.46
21/03/2017,66.5
22/03/2017,66.5
23/03/2017,66.5
24/03/2017,66.5
25/03/2017,66.5
26/03/2017,66.5
27/03/2017,66.54
28/03/2017,66.56
29/03/2017,66.56
30/03/2017,66.54
31/03/2017,66.5
01/04/2017,66.47
02/04/2017,66.41
03/04/2017,66.37
04/04/2017,66.34
05/04/2017,66.25
06/04/2017,66.18
07/04/2017,66.15
08/04/2017,66.11
09/04/2017,66.05
10/04/2017,65.99
11/04/2017,65.92
12/04/2017,65.86
13/04/2017,65.83
14/04/2017,65.76
15/04/2017,65.7
16/04/2017,65.61
17/04/2017,65.54
18/04/2017,65.45
19/04/2017,65.38
20/04/2017,65.31
21/04/2017,65.26
22/04/2017,65.16
23/04/2017,65.09
24/04/2017,65.01
25/04/2017,64.91
26/04/2017,64.81
27/04/2017,64.75
28/04/2017,64.71
29/04/2017,64.71
30/04/2017,64.71
01/05/2017,64.72
02/05/2017,64.66
03/05/2017,64.59
04/05/2017,64.56
05/05/2017,64.52
06/05/2017,64.43
07/05/2017,64.34
08/05/2017,64.27
09/05/2017,64.18
10/05/2017,64.08
11/05/2017,64.03
12/05/2017,63.99
13/05/2017,63.96
14/05/2017,63.91
15/05/2017,63.87
16/05/2017,63.78
17/05/2017,63.65
18/05/2017,63.58
19/05/2017,63.49
20/05/2017,63.37
21/05/2017,63.24
22/05/2017,63.15
23/05/2017,63.02
24/05/2017,62.9
25/05/2017,62.81
26/05/2017,62.71
27/05/2017,62.59
28/05/2017,62.47
29/05/2017,62.34
30/05/2017,62.22
31/05/2017,62.1
01/06/2017,62.01
02/06/2017,61.9
03/06/2017,61.74
04/06/2017,61.6
05/06/2017,61.48
06/06/2017,61.3
07/06/2017,61.12
08/06/2017,60.99
09/06/2017,60.88
10/06/2017,60.73
11/06/2017,60.61
12/06/2017,60.48
13/06/2017,60.3
14/06/2017,60.18
15/06/2017,60.06
16/06/2017,59.94
17/06/2017,59.77
18/06/2017,59.61
19/06/2017,59.46
20/06/2017,59.29
21/06/2017,59.13
22/06/2017,59.01
23/06/2017,58.89
24/06/2017,58.69
25/06/2017,58.51
26/06/2017,58.36
27/06/2017,58.18
28/06/2017,57.98
29/06/2017,57.83
30/06/2017,57.68
01/07/2017,57.44
02/07/2017,57.24
03/07/2017,57.08
04/07/2017,56.9
05/07/2017,56.69
06/07/2017,56.58
07/07/2017,55.99
08/07/2017,56.31
09/07/2017,56.14
10/07/2017,55.97
11/07/2017,55.8
12/07/2017,55.64
13/07/2017,55.54
14/07/2017,55.4
15/07/2017,55.23
16/07/2017,55.06
17/07/2017,54.88
18/07/2017,54.72
19/07/2017,54.53
20/07/2017,54.4
21/07/2017,54.26
22/07/2017,54.06
23/07/2017,53.86
24/07/2017,53.69
25/07/2017,53.53
26/07/2017,53.34
27/07/2017,53.24
28/07/2017,53.08
29/07/2017,52.88
30/07/2017,52.69
31/07/2017,52.53
01/08/2017,52.34
02/08/2017,52.17
03/08/2017,52.03
04/08/2017,51.87
05/08/2017,51.67
06/08/2017,51.48
07/08/2017,51.29
08/08/2017,51.1
09/08/2017,50.89
10/08/2017,50.76
11/08/2017,50.59
12/08/2017,50.4
13/08/2017,50.21
14/08/2017,50.02
15/08/2017,49.83
16/08/2017,49.67
17/08/2017,49.54
18/08/2017,49.4
19/08/2017,49.2
20/08/2017,49.04
21/08/2017,48.85
22/08/2017,48.67
23/08/2017,48.48
24/08/2017,48.35
25/08/2017,48.22
26/08/2017,48.03
27/08/2017,47.86
28/08/2017,47.75
29/08/2017,47.67
30/08/2017,47.57
31/08/2017,47.46
01/09/2017,47.36
02/09/2017,47.18
03/09/2017,47.05
04/09/2017,46.9
05/09/2017,46.74
06/09/2017,46.57
07/09/2017,46.48
08/09/2017,46.38
09/09/2017,46.22
10/09/2017,46.07
11/09/2017,45.95
